,id_municipio,id_item,codigo_resposta,validated_at,justificativa
97,30,3,OK_VALIDADO,2023-04-18 14:24:48.666128,"Item validado com sucesso. O link da lei 12.527 foi encontrado em [/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/itabirito/acesso_a_informacao/requisitos_exigidos/data/raw_pages/73555cdff73c46085c4630e3230f7a5b.html] no(s) elemento(s): {<a href=""http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm"" target=""_blank"">Lei Federal Nº 12.527/2012 - Acesso à informação</a>}"
98,30,4,OK_VALIDADO,2023-04-18 14:24:48.699548,"Item validado com sucesso. O link foi encontrado em encontrado em [/datalake/ufmg/crawler/webcrawlerc01/realizacaof01/itabirito/acesso_a_informacao/dados_abertos/data/raw_pages/fd749dec0c06433f7ffa3432fb1d905d.html] no(s) elemento(s): {<a href=""HTTP://WWW.TRANSPARENCIA.MG.GOV.BR/IMAGES/STORIES/DECRETO-45969.PDF""> DECRETO ESTADUAL 45.696/2012</a>}"
99,30,5,ERRO_VALIDADO,2023-04-18 14:24:48.727747,Validação informou que o item coletado nao atende aos requisitos. Não foi encontrado um link para a página de transparência de Minas Gerais.
100,30,6,OK_VALIDADO,2023-04-18 14:24:48.803370,Item validado com sucesso. Não foi encontrada referência a fazer login ou cadastro no portal.
101,30,7,OK_VALIDADO,2023-04-18 14:24:48.830562,Item validado com sucesso. Explain - Quantidade de arquivos analizados: 12. Quantidade de aquivos que possuem referência a Perguntas Frequentes: 12
102,30,13,ERRO_VALIDADO,,Validação informou que o item coletado nao atende aos requisitos. Referências a publicações de dados abertos foram encontrados em 0 página.
103,30,17,ITEM_NAO_DISPONIVEL,,Item ainda não validado
104,30,18,ITEM_NAO_DISPONIVEL,,Item ainda não validado
105,30,19,ITEM_NAO_DISPONIVEL,,Item ainda não validado
106,30,20,ITEM_NAO_DISPONIVEL,,Item ainda não validado
107,30,21,ERRO_VALIDADO,2023-02-03 18:43:26.615750,Validação informou que o item coletado nao atende aos requisitos. Não foram encontrados arquivos coletados que validassem o item.
108,30,22,ERRO_VALIDADO,2023-02-03 18:43:26.626612,Validação informou que o item coletado nao atende aos requisitos. Não foram encontrados arquivos coletados que validassem o item.
109,30,23,ITEM_NAO_DISPONIVEL,,Item ainda não validado
110,30,24,OK_VALIDADO,2023-02-09 21:42:26.531160,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 3552.
        Quantidade de entradas que possuem o campo a previsão da receita válido: 589"
111,30,25,OK_VALIDADO,2023-02-09 21:42:26.551066,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 3552.
        Quantidade de entradas que possuem o campo a arrecadação da receita válido: 2670"
112,30,26,OK_VALIDADO,2023-02-09 21:42:26.572638,"Item validado com sucesso. Quantidade de entradas encontradas e analizadas: 3552.
        Quantidade de entradas que possuem o campo a classificação da receita válido: 2864"
113,30,27,ITEM_NAO_DISPONIVEL,2023-02-09 20:49:14.241599,Item ainda não validado
